From,To,Type,Cap,B,Cost
1,2,Existing,1,0,0
1,3,Existing,555,0.10,0
3,4,Existing,555,0.14,0
1,5,Existing,1111,0.14,0
4,5,Existing,555,0.16,0
5,6,Existing,3517,0.71,0
6,7,Existing,555,0.08,0
4,9,Existing,555,0.09,0
6,10,Existing,4073,0.59,0
6,8,Existing,2036,0.12,0
8,11,Existing,4443,0.38,0
5,12,Existing,1400,0.38,0
1,2,New,1481,7.59,1452073
1,3,New,1481,7.59,3049351
3,4,New,1481,7.59,2032902
1,5,New,1481,7.59,4259410
4,5,New,1481,7.59,1790890
5,6,New,1481,7.59,1452073
6,7,New,1481,7.59,3775386
4,9,New,1481,7.59,3436570
6,10,New,1481,7.59,2226511
6,8,New,1481,7.59,5324261
8,11,New,1481,7.59,3581777
1,13,New,1500,7.59,53231109
